Title,Reference Number,DOI,First Author
Recent developments in microbial fuel cell technologies for sustainable bioenergy,216,10.1263/jbb.106.528,W et al. (2008)
Proton conductivity in doped aluminum phosphate sponges,217,10.1002/cssc.201301055,W et al. (2014)
Recent progress in electrodes for microbial fuel cells,218,10.1016/j.biortech.2011.07.019,W et al. (2011)
"Comparing the short and long term stability of biodegradable, ceramicand cation exchange membranes in microbial fuel cells",219,10.1016/j.biortech.2013.08.163,W et al. (2013)
Environmentally friendly synthesis of alkaline anion exchange membrane for fuel cells via a solvent-free strategy,220,10.1016/j.memsci.2011.01.036,W et al. (2011)
Fullerene materials,221,10.1039/b201196d,W et al. (2012)
Alternatively chitosan sulfate blending membrane as methanol-blocking polymer electrolyte membrane for direct methanol fuel cell,222,10.1016/j.memsci.2009.04.006,X et al. (2009)
Crumpled graphene particles for microbial fuel cell electrodes,223,10.1016/j.jpowsour.2012.02.036,X et al. (2012)
The effect of acid doping on the conductivity of polybenzimidazole(PBI),224,No DOI,X et al. (1999)
Anode modification with peptide nanotubes encapsulating riboflavin enhanced power generation in microbial fuel cells,225,10.1016/j.ijhydene.2015.11.124,X et al. (2016)
Fouling of proton exchange membrane (PEM) deteriorates the performance of microbial fuel cell,226,10.1016/j.watres.2011.12.060,X et al. (2012)
A new method for dispersing palladium microparticles in conducting polymer films and its applications in biosensors,227,10.1016/S0379-6779(97)80114-2,Y et al. (1997)
Anode modification of sediment microbial fuel cells (SMFC) towards bioremediating mariculture wastewater,228,No DOI,Y et al. (2022)
Effects of the Pt loading side and cathode-biofilm on the performance of a membrane-less and single-chamber microbial fuel cell,229,10.1016/j.biortech.2008.08.005,Y et al. (2012)
Synthesis of Fe3O4/polyaniline nanocomposite inreversed micelle systems and its performance characteristics,230,10.1016/j.proeng.2011.12.503,Y et al. (2012)
Development and modification of materials to build cost-effective anodes for microbial fuel cells (MFCs): an overview,231,10.1016/j.bej.2020.107779,Y et al. (2020)
Effect of buffer charge on performance of air-cathodes used in microbial fuel cells,232,10.1016/j.electacta.2016.02.095,Y et al. (2016)
Enhancing the performance of soil microbial fuel cells by using a bentonite-Fe and Fe3O4 modified anode,233,10.1016/j.jhazmat.2019.05.052,Y et al. (2019)
Fullerene-grafted graphene for efficient bulk heterojunction polymer photovoltaic devices,234,No DOI,Y et al. (2011)
Soluble P3ht-grafted graphene for efficient bilayer heterojunction photovoltaic devices,235,10.1021/nn101671t,Y et al. (2010)
Electrochemical reduction of oxygen with iron phthalocyanine in neutral media,236,No DOI,Y et al. (2008)
Graphene-modified electrodes for enhancing the performance of microbial fuel cells,237,10.1039/C4NR05637J,Y et al. (2015)
Oxygen reduction reaction catalysts used in microbial fuel cells for energy-efficient wastewater treatment: a review,238,10.1039/C6MH00093B,Y et al. (2016)
The contact angle between water and the surface of perfluoro-sulphonic acid membranes,239,10.1007/BF00241582,Z et al. (1993)
Improving oxygen reduction reaction by cobalt iron-layered double hydroxide layer on nickel-metal organic framework as cathode catalyst in microbial fuel cell,240,10.1016/j.biortech.2023.130011,Z et al. (2024)
Synthesis and characterization of core-shell SiO2 nanoparticles/poly(3-aminophenylboronic acid) composites,241,10.1002/app.25938,Z et al. (2007)
Challenges and constraints of using oxygen cathodes in microbial fuel cells,242,10.1021/es060332p,Z et al. (2006)
Three-dimensional graphene/Pt nanoparticle composites as freestanding anode for enhancing performance of microbial fuel cells,243,No DOI,Z et al. (2015)
Enhanced proton conductivity of the proton exchange membranes by the phosphorylated silica submicrospheres,244,10.1016/j.jpowsour.2012.09.080,Z et al. (2013)
Three-dimensional graphene/Pt nanoparticle composites as freestanding anode for enhancing performance of microbial fuel cells,245,10.1126/sciadv.1500372,Z et al. (2015)
Anode modification by electrochemical oxidation: a new practical method to improve the performance of microbial fuel cells,246,10.1016/j.bej.2011.10.014,Z et al. (2012)
An overview of electrode materials in microbial fuel cells,247,10.1016/j.jpowsour.2011.01.012,Z et al. (2011)
"Graphene oxide/polypyrrole nanocomposites: one-step electrochemical doping, coating and synergistic effect for energy storage",248,10.1039/c2jm16699b,Z et al. (2012)
Improved performance of membrane free single-chamber air-cathode microbial fuel cells with nitric acid and ethylenediamine surface modified activated carbon fiber felt anodes,249,10.1016/j.biortech.2010.06.046,Z et al. (2011)
"Comparison of membrane- and cloth-cathode assembly for scalable microbial fuel cells: construction, performance and cost",250,10.1016/j.procbio.2010.02.014,Z et al. (2010)
