Reference Index,type_of_reference,authors,title,year,abstract,start_page,end_page,alternate_title3,volume,number,publisher,doi,First Author
47,JOUR,"['Li, Wen-Wei; Yu, Han-Qing; He, Zhen']",Towards sustainable wastewater treatment by using microbial fuel cells-centered technologies,2013,"Microbial fuel cells (MFCs) have been conceived and intensively studied as a promising technology to achieve sustainable wastewater treatment. However, doubts and debates arose in recent years regarding the technical and economic viability of this technology on a larger scale and in a real-world applications. Hence, it is time to think about and examine how to recalibrate this technology's role in a future paradigm of sustainable wastewater treatment. In the past years, many good ideas/approaches have been proposed and investigated for MFC application, but information is scattered. Various review papers were published on MFC configuration, substrates, electrode materials, separators and microbiology but there is lack of critical thinking and systematic analysis of MFC application niche in wastewater treatment. To systematically formulate a strategy of (potentially) practical MFC application and provide information to guide MFC development, this perspective has critically examined and discussed the problems and challenges for developing MFC technology, and identified a possible application niche whereby MFCs can be rationally incorporated into the treatment process. We propose integration of MFCs with other treatment technologies to form an MFC-centered treatment scheme based on thoroughly analyzing the challenges and opportunities, and discuss future efforts to be made for realizing sustainable wastewater treatment.",911,924,Energy Environ. Sci.,7,3,,10.1039/c3ee43106a,Li
48,JOUR,"['Wei, Jincheng; Liang, Peng; Huang, Xia']",Recent progress in electrodes for microbial fuel cells.,2011,NA,9335,9344,Bioresource technology,102,20,,10.1016/j.biortech.2011.07.019,Wei
49,JOUR,"['Nancharaiah, Yarlagadda V.; Mohan, S. Venkata; Lens, Piet N.L.']",Metals removal and recovery in bioelectrochemical systems: A review.,2015,NA,102,114,Bioresource technology,195,NA,,10.1016/j.biortech.2015.06.058,Nancharaiah
50,JOUR,"['Khan, Mohammad Zain; Singh, Satyendra; Sultana, Saima; Sreekrishnan, Trichur Ramaswamy; Ahammad, Shaaikh Ziauddin']",Studies on the biodegradation of two different azo dyes in bioelectrochemical systems,2015,"A comparative study on the degradation of acid navy blue R (ANB) and reactive orange 16 (RO 16) was performed in two identical microbial fuel cells (MFCs) under similar conditions and the microbial communities were quantified using a quantitative real time polymerase chain reaction (qPCR). Electricity and methane gas were produced as the end products along with the significant removal of chemical oxygen demand (COD) during the study. The overall performance in terms of degradation rate, COD removal efficiency and biogas production rates were slightly better in the case of the reactor using RO 16 as the carbon source, while electricity production was slightly greater in the reactor treating ANB. A negative standard reduction potential of the reaction mixture indicates the presence of oxidized species in the reactor. Scanning electron microscopy images show the presence of diatoms and rod shaped bacteria in the mixed microbial culture and also confirmed the formation of a biofilm on the anode surface. The qPCR technique was used as a quantitative tool to estimate the abundance of methanogens, sulphate reducing bacteria (SRBs) and electrochemically active Geobacter species. The relative abundance of methanogens was comparatively higher and Geobacter was lower in the case of the reactor treating RO 16. Although the output power was low, this technique can be used for the effective degradation of complex and toxic compounds.",5597,5604,New Journal of Chemistry,39,7,,10.1039/c5nj00541h,Khan
51,JOUR,"['Abbas, Syed Zaghum; Rafatullah, Mohd; Khan, Moonis Ali; Siddiqui, Masoom Raza']",Bioremediation and Electricity Generation by Using Open and Closed Sediment Microbial Fuel Cells.,2019,"The industrial contamination of marine sediments with mercury, silver, and zinc in Penang, Malaysia was studied with bio-remediation coupled with power generation using membrane less open (aerated) and closed (non-aerated) sediment microbial fuel cells (SMFCs). The prototype for this SMFC is very similar to a natural aquatic environment because it is not stimulated externally and an oxygen sparger is inserted in the cathode chamber to create the aerobic environment in the open SMFC and no oxygen supplied in the closed SMFC. The open and closed SMFCs were showed the maximum voltage generation 300.5 mV (77.75 mW/m2) and 202.7 mV (45.04 (mW/m2), respectively. The cyclic voltammetry showed the oxidation peak in open SMFCs at +1.9 μA and reduction peak at -0.3 μA but in closed SMFCs oxidation and reduction peaks were noted at +1.5 μA and -1.0 μA, respectively. The overall impedance (anode, cathode and solution) of closed SMFCs was higher than open SMFCs. The charge transfer impedance showed that the rates of substrate oxidation and reduction were very low in the closed SMFCs than open SMFCs. The Nyquist arc indicated that O2 act as electron acceptor in the open SMFCs and CO2 in the closed SMFCs. The highest remediation efficiency of toxic metals [Hg (II) ions, Zn (II) ions, and Ag (I) ions] in the open SMFCs were 95.03%, 86.69%, and 83.65% in closed SMFCs were 69.53%, 66.57%, and 65.33%, respectively, observed during 60-80 days. The scanning electron microscope and 16S rRNA analysis showed diverse exoelectrogenic community in the open SMFCs and closed SMFCs. The results demonstrated that open SMFCs could be employed for the power generation and bioremediation of pollutants.",3348,3348,Frontiers in microbiology,9,NA,,10.3389/fmicb.2018.03348,Abbas
52,JOUR,"['Srivastava, Pratiksha; Yadav, Asheesh Kumar; Mishra, Barada Kanta']",The effects of microbial fuel cell integration into constructed wetland on the performance of constructed wetland.,2015,NA,223,230,Bioresource technology,195,NA,,10.1016/j.biortech.2015.05.072,Srivastava
53,JOUR,"['Yu, Fei; Wang, Chengxian; Ma, Jie']",Applications of Graphene-Modified Electrodes in Microbial Fuel Cells,2016,"Graphene-modified materials have captured increasing attention for energy applications due to their superior physical and chemical properties, which can significantly enhance the electricity generation performance of microbial fuel cells (MFC). In this review, several typical synthesis methods of graphene-modified electrodes, such as graphite oxide reduction methods, self-assembly methods, and chemical vapor deposition, are summarized. According to the different functions of the graphene-modified materials in the MFC anode and cathode chambers, a series of design concepts for MFC electrodes are assembled, e.g., enhancing the biocompatibility and improving the extracellular electron transfer efficiency for anode electrodes and increasing the active sites and strengthening the reduction pathway for cathode electrodes. In spite of the challenges of MFC electrodes, graphene-modified electrodes are promising for MFC development to address the reduction in efficiency brought about by organic waste by converting it into electrical energy.",807,NA,"Materials (Basel, Switzerland)",9,10,,10.3390/ma9100807,Yu
54,JOUR,"['Hou, Bin; Lu, Jing; Haifang, Wang; Li, Ying; Liu, Pengxiao; Liu, Yao; Chen, Jiajun']",Performance of microbial fuel cells based on the operational parameters of biocathode during simultaneous Congo red decolorization and electricity generation.,2019,NA,291,297,"Bioelectrochemistry (Amsterdam, Netherlands)",128,NA,,10.1016/j.bioelechem.2019.04.019,Hou
55,JOUR,"['Solanki, Komal; Subramanian, Sindhu; Basu, Suddhasatwa']",Microbial fuel cells for azo dye treatment with electricity generation: a review.,2013,NA,564,571,Bioresource technology,131,NA,,10.1016/j.biortech.2012.12.063,Solanki
56,JOUR,"['Kumar, Gopalakrishnan; Sivagurunathan, Periyasamy; Lin, Chiu-Yue']",Influence of various combinations of heat pretreatment on hydrogen fermentation from deoiled jatropha waste using mixed microflora,2019,NA,1,7,Environmental Engineering and Management Journal,18,1,,10.30638/eemj.2019.001,Kumar
57,JOUR,"['Kaur, Gagan; Adhikari, Raju; Cass, Peter; Bown, Mark; Gunatillake, Pathiraja A.']",Electrically conductive polymers and composites for biomedical applications,2015,"Electrically conductive polymeric materials have recently attracted considerable interest from academic and industrial researchers to explore their potential in biomedical applications such as in biosensors, drug delivery systems, biomedical implants and tissue engineering. Conventional conductive homopolymers such as polypyrrole and PEDOT show promising conductivity for these applications, however their mechanical properties, biocompatibility and processability are often poor. This has led to more recent attention being directed towards conductive polymeric composites comprised of biostable/biocompatible polymers with dispersed conductive fillers such as graphene, carbon nanotubes and metallic nanoparticles. The major objective of this paper is to provide an up to date review of the recent investigations conducted in the development of conductive polymer composites focussing on the methods of their preparation, underlying concepts of their conductivity and the ways to tailor their properties. Furthermore, recent progress made in conventional conducting polymers and their composites/blends for biomedical applications is also discussed.",37553,37567,RSC Advances,5,47,,10.1039/c5ra01851j,Kaur
58,JOUR,"['Clauwaert, Peter; van der Ha, David; Boon, Nico; Verbeken, Kim; Verhaege, Marc; Rabaey, Korneel; Verstraete, Willy']",Open air biocathode enables effective electricity generation with microbial fuel cells,2007,"The reduction of oxygen at the cathode is one of the major bottlenecks of microbial fuel cells (MFCs). While research so far has mainly focused on chemical catalysis of this oxygen reduction, here we present a continuously wetted cathode with microorganisms that act as biocatalysts for oxygen reduction. We combined the anode of an acetate oxidizing tubular microbial fuel cell with an open air biocathode for electricity production. The maximum power production was 83 11 W m(-3) MFC (0.183 L MFC) for batchfed systems (20-40% Coulombic yield) and 65 5 W m(-3) MFC for a continuous system with an acetate loading rate of 1.5 kg COD m(-3) day(-1) (90 +/- 3% Coulombic yield). Electrochemical precipitation of manganese oxides on the cathodic graphite felt decreased the start-up period with approximately 30% versus a non-treated graphite felt. After the start-up period, the cell performance was similar for the pretreated and non-treated cathodic electrodes. Several reactor designs were tested, and it was found that enlargement of the 0.183 L MFC reactor by a factor 2.9-3.8 reduced the volumetric power output by 60-67%. Biocathodes alleviate the need to use noble or non-noble catalysts for the reduction of oxygen, which increases substantially the viability and sustainability of MFCs.",7564,7569,Environmental science & technology,41,21,,10.1021/es0709831,Clauwaert
59,JOUR,"['Yasri, Nael G.; Nakhla, George']",Electrochemical Behavior of Anode-Respiring Bacteria on Doped Carbon Electrodes.,2016,"Cultivating anodic respiring bacteria (ARB) on anodes doped with metal-enhanced biological growth and affected higher electocatalytic activity (ECA). The anode doped with calcium sulfide (CaS) proved more favorable for ARB than the magnetite (Fe3O4) or iron(II) sulfide (FeS). Average anodic current densities of 8.4 Am2– (Fe3O4), 11.1 Am2– (FeS), and 22.0 Am2– (CaS) were achieved as compared to that of nondoped carbon (5.1 A m–2). Thus, CaS-doped graphite represents a promising anode material which is suitable for highly efficient bioelectrochemical systems (BES). Electrochemical evaluation during turnover and starvation using simple cycle voltammetry (CV) and derivative cycle voltammetry (DCV) indicated several extracellular electron transfer (EET) pathways characterized with lower potentials for biofilms. However, despite the high affinity of bacteria to iron, their lower ECA was kinetically attributed to the accumulation of self-produced mediators on iron-doped anodes.",35150,35162,ACS applied materials & interfaces,8,51,,10.1021/acsami.6b09907,Yasri
60,JOUR,"['Zhou, Guangmin; Li, Lu; Ma, Chaoqun; Wang, Shaogang; Shi, Ying; Koratkar, Nikhil; Ren, Wencai; Li, Feng; Cheng, Hui-Ming']",Rapid communicationA graphene foam electrode with high sulfur loading for flexible and high energy Li-S batteries,2015,NA,356,365,Nano Energy,11,NA,,10.1016/j.nanoen.2014.11.025,Zhou
61,JOUR,"['Ghasemi, Mostafa; Ismail, Manal; Kamarudin, Siti Kartom; Saeedfar, Kasra; Daud, Wan Ramli Wan; Hassan, Sedky H.A.; Heng, Lee Yook; Alam, Javed; Oh, Sang-Eun']",Carbon nanotube as an alternative cathode support and catalyst for microbial fuel cells,2013,NA,1050,1056,Applied Energy,102,NA,,10.1016/j.apenergy.2012.06.003,Ghasemi
62,JOUR,"['Füeg, Michael; Borjas, Zulema; Estevez-Canales, Marta; Esteve-Núñez, Abraham; Pobelov, Ilya; Broekmann, Peter; Kuzume, Akiyoshi']",Interfacial electron transfer between Geobacter sulfurreducens and gold electrodes via carboxylate-alkanethiol linkers: Effects of the linker length.,2018,NA,130,136,"Bioelectrochemistry (Amsterdam, Netherlands)",126,NA,,10.1016/j.bioelechem.2018.11.013,Füeg
63,JOUR,"['Zhang, Changyong; Liang, Peng; Yang, Xufei; Jiang, Yong; Bian, Yanhong; Chen, Cheng-Meng; Zhang, Xiaoyuan; Huang, Xia']",Binder-free graphene and manganese oxide coated carbon felt anode for high-performance microbial fuel cell.,2016,NA,32,38,Biosensors & bioelectronics,81,NA,,10.1016/j.bios.2016.02.051,Zhang
64,JOUR,"['Zhao, Lin; Deng, Jinghui; Hou, Huijie; Li, Jingchen; Yang, Yongkui']",Investigation of PAH and oil degradation along with electricity generation in soil using an enhanced plant-microbial fuel cell,2019,NA,678,683,Journal of Cleaner Production,221,NA,,10.1016/j.jclepro.2019.02.212,Zhao
65,JOUR,"[""Santoro, Carlo; Gokhale, Rohan; Mecheri, Barbara; D'Epifanio, Alessandra; Licoccia, Silvia; Serov, Alexey; Artyushkova, Kateryna; Atanassov, Plamen""]",Design of Iron(II) Phthalocyanine-Derived Oxygen Reduction Electrocatalysts for High-Power-Density Microbial Fuel Cells.,2017,"Iron(II) Phthalocyanine (FePc) deposited onto two different carbonaceous supports was synthesized by the non-conventional pyrolysis-free method, studied in the reaction of oxygen reduction (ORR) in neutral media, incorporated in an air-breathing cathode structure and tested in operating microbial fuel cell (MFC) configuration. Rotating ring disk electrode (RRDE) analysis revealed high performances of the Fe-based catalysts compared with activated carbon (AC). It was shown that Black Pearls supported FePc (Fe-BP(N)) exhibits the highest performance in term of more positive onset, positive shift of half-wave potential and higher limiting as well as highest power density in operating MFC (243±7 μWcm-2) that was 33% higher than Fe-CNT(N) (182±5 μWcm-2). Power density generated by Fe-BP(N) was 92% higher than AC indicating that the utilization of PGM-free catalysts can boost up significantly the performances of MFCs.",3243,3251,ChemSusChem,10,16,,10.1002/cssc.201700851,Santoro
66,JOUR,"['Yuan, Yong; Zhou, Shungui; Zhao, Bo; Zhuang, Li; Yueqiang, Wang']",Microbially-reduced graphene scaffolds to facilitate extracellular electron transfer in microbial fuel cells,2012,NA,453,458,Bioresource technology,116,NA,,10.1016/j.biortech.2012.03.118,Yuan
67,JOUR,"['Lowy, Daniel A.; Tender, Leonard M.; Zeikus, J. Gregory; Park, Doo Hyun; Lovley, Derek R.']",Harvesting energy from the marine sediment-water interface II. Kinetic activity of anode materials.,2006,NA,2058,2063,Biosensors & bioelectronics,21,11,,10.1016/j.bios.2006.01.033,Lowy
68,JOUR,"['Ates, Murat; Eker, Aysegul Akdogan; Eker, Bülent']",Carbon nanotube-based nanocomposites and their applications,2017,"AbstractThe purpose of the current review article is to present a compherensive understanding regarding pros and cons of carbon nanotube–related nanocomposites and to find ways in order to improve the performance of nanocomposites with new designs. Nanomaterials including carbon nanotubes (CNTs) are employed in industrial applications such as supercapacitors, and biosensors, and etc. The present article has been prepared in three main categories. In the first part, carbon nanotube types have been presented, as single-walled carbon nanotubes, multi-walled carbon nanotubes, and also equivalent circuit models, which have been used to more clarify the experimental measurements of impedance. In the second part, nanocomposites with many carbon, inorganic and polymeric materials such as polymer/CNT, activated carbon/CNT, metal oxide/CNT, and carbon fiber/CNT have been investigated in more detail. In the third part, the focus in on the industrial applications of CNTs. including supercapacitors, biosensors, radar ...",1977,1997,Journal of Adhesion Science and Technology,31,18,,10.1080/01694243.2017.1295625,Ates
69,JOUR,"['Li, Zhilin; Chen, Lianlian; Meng, Sheng; Guo, Liwei; Huang, Jiao; Liu, Yu; Wang, Wenjun; Chen, Xiaolong']",Field and temperature dependence of intrinsic diamagnetism in graphene: Theory and experiment,2015,"Intrinsic diamagnetism of graphene is studied both theoretically and experimentally, to unravel the magnetic response of chiral massless fermions. Comprehensive formulas predicting the variation of graphene magnetization with magnetic field and temperature are developed. Graphene magnetization $M$ at low temperatures is particularly large and $M\ensuremath{\propto}\ensuremath{-}\sqrt{B}$, intrinsically different from normal materials. The quantum Berry phase of $\ensuremath{\pi}$ and linear energy dispersion are responsible for this intriguing macroscopic behavior. The temperature dependence of magnetization is successfully formulated by a Langevin-like function. The de Haas--van Alphen oscillations are predicted in the case of doping. Correspondingly, experiments at different temperatures are conducted on highly pure, mass-produced graphene flakes derived from SiC single crystals, which exhibit very strong diamagnetism. The measured results agree well with the theoretical ones in both magnitude and trend.",094429,NA,Physical Review B,91,9,,10.1103/physrevb.91.094429,Li
70,JOUR,"['Xafenias, Nikolaos; Zhang, Yue; Banks, Charles J.']",Enhanced Performance of Hexavalent Chromium Reducing Cathodes in the Presence of Shewanella oneidensis MR-1 and Lactate,2013,"Biocathodes for the reduction of the highly toxic hexavalent chromium (Cr(VI)) were investigated using Shewanella oneidensis MR-1 (MR-1) as a biocatalyst and performance was assessed in terms of current production and Cr(VI) reduction. Potentiostatically controlled experiments (-500 mV vs Ag/AgCl) showed that a mediatorless MR-1 biocathode started up under aerated conditions in the presence of lactate, received 5.5 and 1.7 times more electrons for Cr(VI) reduction over a 4 h operating period than controls without lactate and with lactate but without MR-1, respectively. Cr(VI) reduction was also enhanced, with a decrease in concentration over the 4 h operating period of 9 mg/L Cr(VI), compared to only 1 and 3 mg/L, respectively, in the controls. Riboflavin, an electron shuttle mediator naturally produced by MR-1, was also found to have a positive impact in potentiostatically controlled cathodes. Additionally, a microbial fuel cell (MFC) with MR-1 and lactate present in both anode and cathode produced a maximum current density of 32.5 mA/m(2) (1000 Ω external load) after receiving a 10 mg/L Cr(VI) addition in the cathode, and cathodic efficiency increased steadily over an 8 day operation period with successive Cr(VI) additions. In conclusion, effective and continuous Cr(VI) reduction with associated current production were achieved when MR-1 and lactate were both present in the biocathodes.",4512,4520,Environmental science & technology,47,9,,10.1021/es304606u,Xafenias
71,JOUR,"['Antolini, Ermete']",Photo-assisted methanol oxidation on Pt-TiO2 catalysts for direct methanol fuel cells: A short review,2018,NA,491,503,Applied Catalysis B: Environmental,237,NA,,10.1016/j.apcatb.2018.06.029,Antolini
72,JOUR,"['ElMekawy, Ahmed; Hegab, Hanaa M.; Losic, Dusan; Saint, Christopher P.; Pant, Deepak']",Applications of graphene in microbial fuel cells: The gap between promise and reality,2017,NA,1389,1403,Renewable and Sustainable Energy Reviews,72,NA,,10.1016/j.rser.2016.10.044,ElMekawy
73,JOUR,"['Oon, Yoong-Ling; Ong, Soon-An; Ho, Li-Ngee; Wong, Yee-Shian; Dahalan, Farrah Aini; Oon, Yoong-Sin; Lehl, Harvinder Kaur; Thung, Wei-Eng; Nordin, Noradiba']","Up-flow constructed wetland-microbial fuel cell for azo dye, saline, nitrate remediation and bioelectricity generation: From waste to energy approach.",2018,NA,97,108,Bioresource technology,266,NA,,10.1016/j.biortech.2018.06.035,Oon
74,JOUR,"['kumar, G. Gnana; Hashmi, Saud; Karthikeyan, Chandrasekaran; GhavamiNejad, Amin; Vatankhah-Varnoosfaderani, Mohammad; Stadler, Florian J.']",Graphene oxide/carbon nanotube composite hydrogels-versatile materials for microbial fuel cell applications.,2014,"Carbonaceous nanocomposite hydrogels are prepared with an aid of a suspension polymerization method and are used as anodes in microbial fuel cells (MFCs). (Poly N-Isopropylacrylamide) (PNIPAM) hydrogels filled with electrically conductive carbonaceous nanomaterials exhibit significantly higher MFC efficiencies than the unfilled hydrogel. The observed morphological images clearly show the homogeneous dispersion of carbon nanotubes (CNTs) and graphene oxide (GO) in the PNIPAM matrix. The complex formation of CNTs and GO with NIPAM is evidenced from the structural characterizations. The effectual MFC performances are influenced by combining the materials of interest (GO and CNTs) and are attributed to the high surface area, number of active sites, and improved electron-transfer processes. The obtained higher MFC efficiencies associated with an excellent durability of the prepared hydrogels open up new possibilities for MFC anode applications.",1861,1865,Macromolecular rapid communications,35,21,,10.1002/marc.201400332,kumar
75,JOUR,"['Logan, Bruce E.; Murano, Cassandro; Scott, Keith; Gray, Neil D.; Head, Ian M.']",Electricity generation from cysteine in a microbial fuel cell.,2005,NA,942,952,Water research,39,5,,10.1016/j.watres.2004.11.019,Logan
76,JOUR,"['Huggins, Tyler; Wang, Heming; Kearns, Joshua; Jenkins, Peter E.; Ren, Zhiyong Jason']",Biochar as a sustainable electrode material for electricity production in microbial fuel cells.,2014,NA,114,119,Bioresource technology,157,NA,,10.1016/j.biortech.2014.01.058,Huggins
77,JOUR,"['Tran, Hung-Thuan; Ryu, Jae-Hun; Jia, Yu-Hong; Oh, Se-Jin; Choi, Ji Youn; Park, Doo-Hyun; Ahn, Dae-Hee']",Continuous bioelectricity production and sustainable wastewater treatment in a microbial fuel cell constructed with non-catalyzed granular graphite electrodes and permeable membrane.,2010,"Oxygen has been so far addressed as the most preferable terminal electron acceptor in the cathodes of microbial fuel cells (MFCs). However, to reduce the oxygen reduction overpotential at the cathode surface, eco-unfriendly and costly catalysts have been commonly employed. Here, we pursued the possibility of using a high surface area electrode to reduce the cathodic reaction overpotential rather than the utilization of catalyzed materials. A dual chambered MFC reactor was designed with the use of graphite-granule electrodes and a permeable membrane. The performance of the reactor in terms of electricity generation and organic removal rate was examined under a continuous-feed manner. Results showed that the maximum volumetric power of 4.4 ± 0.2 W/m 3 net anodic compartment (NAC) was obtained at a current density of 1 1 ± 0.5A/m 3 NAC. The power output was improved by increasing the electrolyte ionic strength. An acceptable effluent quality was attained when the organic loading rate (OLR) of 2 kgCOD/m 3 NAC d was applied. The organic removal rate seemed to be less affected by shock loading. Our system can be suggested as a promising approach to make MFC-based technology economically viable for wastewater treatment applications. This study shows that current generation can be remarkably improved in comparison with several other studies using a low-surface-area plain graphite electrode.",1819,1827,Water science and technology : a journal of the International Association on Water Pollution Research,61,7,,10.2166/wst.2010.140,Tran
78,JOUR,"['Fang, Zhou; Song, Hai-Liang; Cang, Ning; Li, Xianning']",Electricity production from Azo dye wastewater using a microbial fuel cell coupled constructed wetland operating under different operating conditions.,2014,NA,135,141,Biosensors & bioelectronics,68,NA,,10.1016/j.bios.2014.12.047,Fang
79,JOUR,"['Ding, Hongrui; Li, Yan; Lu, Anhuai; Jin, Song; Quan, Chao; Wang, Changqiu; Wang, Xin; Zeng, Cuiping; Yan, Yunhua']",Photocatalytically improved azo dye reduction in a microbial fuel cell with rutile-cathode.,2010,NA,3500,3505,Bioresource technology,101,10,,10.1016/j.biortech.2009.11.107,Ding
80,JOUR,"['Li, Baitao; Zhou, Jun; Zhou, Xiuxiu; Wang, Xiujun; Li, Baikun; Santoro, Carlo; Grattieri, Matteo; Babanova, Sofia; Artyushkova, Kateryna; Atanassov, Plamen; Schuler, Andrew J.']",Surface Modification of Microbial Fuel Cells Anodes: Approaches to Practical Design,2014,NA,116,126,Electrochimica Acta,134,NA,,10.1016/j.electacta.2014.04.136,Li
81,JOUR,"['Abbas, Syed Zaghum; Rafatullah, Mohd; Ismail, Norli; Shakoori, Farah Rauf']",Electrochemistry and microbiology of microbial fuel cells treating marine sediments polluted with heavy metals,2018,"The industrial contamination of marine sediments with chromium, copper and nickel in Penang, Malaysia was addressed with bio-remediation, coupled with power generation, using in situ sediment microbial cells (SMFCs) under various conditions. The efficiency of aerated sediment microbial fuel cells (A-SMFCs) and non-aerated sediment microbial fuel cells (NA-SMFCs) was studied. The A-SMFCs generated a voltage of 580.5 mV between 50 and 60 days, while NA-SMFCs produced a voltage of 510 mV between 60 and 80 days. The cell design point for A-SMFCs was 2 kΩ, while for NA-SMFCs it was 200 Ω. In both SMFCs, the maximum current values relating to forward scanning, reverse scanning and oxidation/reduction peaks were recorded on the 80th day. The anode showed maximum additional capacitance on the 80th day (A-SMFC: 2.7 F cm−2; and NA-SMFC: 2.2 F cm−2). The whole cell electrochemical impedance using the Nyquist model was 21 Ω for A-SMFCs and 15 Ω for NA-SMFCs. After glucose enrichment, the impedance of A-SMFCs was 24.3 Ω and 14.6 Ω for NA-SMFCs. After 60 days, the A-SMFCs reduced the maximum amount of Cr(VI) to Cr(III) ions (80.70%) and Cu(II) to Cu(I) ions (72.72%), and showed maximum intracellular uptake of Ni(II) ions (80.37%); the optimum remediation efficiency of NA-SMFCs was after 80 days toward Cr(VI) ions (67.36%), Cu(II) ions (59.36%) and Ni(II) ions (52.74%). Both SMFCs showed highest heavy metal reduction and power generation at a pH of 7.0. SEM images and 16S rRNA gene analysis showed a diverse bacterial community in both A-SMFCs and NA-SMFCs. The performance of A-SMFCs showed that they could be exercised as durable and efficient technology for power production and the detoxification of heavy metal sediments. The NA-SMFCs could also be employed where anaerobic fermentation is required.",18800,18813,RSC advances,8,34,,10.1039/c8ra01711e,Abbas
82,JOUR,"['Yaqoob, Asim Ali; Parveen, Tabassum; Umar, Khalid; Ibrahim, Mohamad Nasir Mohamad']",Role of Nanomaterials in the Treatment of Wastewater: A Review,2020,"Water is an essential part of life and its availability is important for all living creatures. On the other side, the world is suffering from a major problem of drinking water. There are several gases, microorganisms and other toxins (chemicals and heavy metals) added into water during rain, flowing water, etc. which is responsible for water pollution. This review article describes various applications of nanomaterial in removing different types of impurities from polluted water. There are various kinds of nanomaterials, which carried huge potential to treat polluted water (containing metal toxin substance, different organic and inorganic impurities) very effectively due to their unique properties like greater surface area, able to work at low concentration, etc. The nanostructured catalytic membranes, nanosorbents and nanophotocatalyst based approaches to remove pollutants from wastewater are eco-friendly and efficient, but they require more energy, more investment in order to purify the wastewater. There are many challenges and issues of wastewater treatment. Some precautions are also required to keep away from ecological and health issues. New modern equipment for wastewater treatment should be flexible, low cost and efficient for the commercialization purpose.",495,NA,Water,12,2,,10.3390/w12020495,Yaqoob
83,JOUR,"['Nourbakhsh, Fatemeh; Mohsennia, Mohsen; Pazouki, Mohammad']",Nickel oxide/carbon nanotube/polyaniline nanocomposite as bifunctional anode catalyst for high-performance Shewanella -based dual-chamber microbial fuel cell,2017,NA,1669,1677,Bioprocess and biosystems engineering,40,11,,10.1007/s00449-017-1822-y,Nourbakhsh
84,CHAP,"['Pandit, Soumya; Chandrasekhar, Kuppam; Jadhav, Dipak A.; Ghangrekar, Makarand M.; Das, Debabrata']",Microbial Biodegradation of Xenobiotic Compounds - Contaminant Removal and Energy Recovery in Microbial Fuel Cells,2019,NA,76,94,Microbial Biodegradation of Xenobiotic Compounds,NA,NA,,10.1201/b22151-5,Pandit
85,JOUR,"['Katuri, Krishna P.; Kalathil, Shafeer; Ragab, Ala’a; Bian, Bin; AlQahtani, Manal Faisal; Pant, Deepak; Saikaly, Pascal E.']",Dual-Function Electrocatalytic and Macroporous Hollow-Fiber Cathode for Converting Waste Streams to Valuable Resources Using Microbial Electrochemical Systems.,2018,"Dual-function electrocatalytic and macroporous hollow-fiber cathodes are recently proposed as promising advanced material for maximizing the conversion of waste streams such as wastewater and waste CO2 to valuable resources (e.g., clean freshwater, energy, value-added chemicals) in microbial electrochemical systems. The first part of this progress report reviews recent developments in this type of cathode architecture for the simultaneous recovery of clean freshwater and energy from wastewater. Critical insights are provided on suitable materials for fabricating these cathodes, as well as addressing some challenges in the fabrication process with proposed strategies to overcome them. The second and complementary part of the progress report highlights how the unique features of this cathode architecture can solve one of the intrinsic bottlenecks (gas-liquid mass transfer limitation) in the application of microbial electrochemical systems for CO2 reduction to value-added products. Strategies to further improve the availability of CO2 to microbial catalysts on the cathode are proposed. The importance of understanding microbe-cathode interactions, as well as electron transfer mechanisms at the cathode-cell and cell-cell interface to better design dual-function macroporous hollow-fiber cathodes, is critically discussed with insights on how the choice of material is important in facilitating direct electron transfer versus mediated electron transfer.",1707072,NA,"Advanced materials (Deerfield Beach, Fla.)",30,26,,10.1002/adma.201707072,Katuri
86,JOUR,"['Michaelidou, Urania; Heijne, Annemiek ter; Euverink, Gerrit Jan Willem; Hamelers, Hubertus V.M.; Stams, Alfons J. M.; Geelhoed, Jeanine S.']",Microbial Communities and Electrochemical Performance of Titanium-Based Anodic Electrodes in a Microbial Fuel Cell,2010,"Four types of titanium (Ti)-based electrodes were tested in the same microbial fuel cell (MFC) anodic compartment. Their electrochemical performances and the dominant microbial communities of the electrode biofilms were compared. The electrodes were identical in shape, macroscopic surface area, and core material but differed in either surface coating (Pt- or Ta-coated metal composites) or surface texture (smooth or rough). The MFC was inoculated with electrochemically active, neutrophilic microorganisms that had been enriched in the anodic compartments of acetate-fed MFCs over a period of 4 years. The original inoculum consisted of bioreactor sludge samples amended with Geobacter sulfurreducens strain PCA. Overall, the Pt- and Ta-coated Ti bioanodes (electrode-biofilm association) showed higher current production than the uncoated Ti bioanodes. Analyses of extracted DNA of the anodic liquid and the Pt- and Ta-coated Ti electrode biofilms indicated differences in the dominant bacterial communities. Biofilm formation on the uncoated electrodes was poor and insufficient for further analyses. Bioanode samples from the Pt- and Ta-coated Ti electrodes incubated with Fe(III) and acetate showed several Fe(III)-reducing bacteria, of which selected species were dominant, on the surface of the electrodes. In contrast, nitrate-enriched samples showed less diversity, and the enriched strains were not dominant on the electrode surface. Isolated Fe(III)-reducing strains were phylogenetically related, but not all identical, to Geobacter sulfurreducens strain PCA. Other bacterial species were also detected in the system, such as a Propionicimonas-related species that was dominant in the anodic liquid and Pseudomonas-, Clostridium-, Desulfovibrio-, Azospira-, and Aeromonas-related species.",1069,1075,Applied and environmental microbiology,77,3,,10.1128/aem.02912-09,Michaelidou
